Title,Synopsis
Req2,BIM Processing,
Req3,KLM BRS Interface (Robot Loading) implementation,
Req4,Manifest details report needs to show the First BSM time,
Req5,User interface needs to be simplified for less experienced users,
Req6,When unpositioning a BHE a BPM is generated for each bag in BHE,
Req7,Support for the ""Last Seen Interface""",
Req8,Support for ""Yellow"" bags.  Bags that were loaded incorreclty by RFID and may need to be removed.",
Req9,New screens to present Arrival Flight information in more details,
Req10,HHT_Bag Menu,
Req11,HHT_Departure Flight Menu,
Req12,HHT-BHE&Hold Menu,
Req13,OPS_add_update Airline,
Req14,""Reprint"" does not display any bags.",
Req15,Manage Irregularities.,
Req16,If a reflighted bag has connecting flights, these details must be printed on the expedite tag.
Req17,Manage Irregularities. Authorize bags popup has only 5 reasons in the list.,
Req18,Single Airport configuration should have the Bag Enquiry page landing with the cursor focussed on the tag ID field,
Req19,Manage Bag Irregularities screen .  Add ""auto refresh"" so users can be updated with info automatically",
Req20,Stronger indication to IWS users of a 'bag to offload' situation,
Req21,Invalid sorting on the screen when using the Arrival Flight Status boxes.,
Req22,Arrival Flight Manifest Report shows information in incorrect format,
Req23,Showing ""Flight cancelled"" for a flight cancel unsuccessful flow.",
Req24,Inconsistent sorting between UI and printout of Flight History report,
Req25,Incorrect details are displayed in the Summary tab,
Req26,3 Beep sounding should be done only for problem cases like UNK or QOH,
Req27,Need the ability for a GHA to reflight a bag ""belonging to"" another GHA",
Req28,Load Bag into BHE/Hold: Not able to Load bag into BHE/Hold,
Req29,CSV reports for Tracking Inventory and Tracking History screen,
Req30,Tracking Location selection box shows tracking locations sorted incorrect.,
Req31,Monitor Arrival Bags considers wrong time when query-in on Previous and Next,
Req32,Tracking Inventory Enquiry is missing the Time Elapsed information as in V5,
Req33,Arrival Flight Monitoring Report incorrectly shows the flight ETA as the ATA,
Req34,Monitor Arrival Bags missing Report.,
Req35,Delivery Performance Report lacks detailed information for flights with late bags,
Req36,Arrival Flight Manifest. The report does not contain the flight historical information and does not print more than one container and its contents.,
Req37,Screen auto refresh function to use the same time value for all IWS screens and remains for user at next logon,
Req38,The Class and Categories dropdown needs to remain active irrespective of the Bag Type selected.,
Req39,Show Passenger Given name in main screen and duplicate pop up,
Req40,Add a count of 'total heavy bags loaded' to the manfest summary printout,
Req41,CSV report contains system wide tracking information for all handlers and all airlines iso data according to screen filters,
Req42,Selected Flights Only filter doesn't work when navigating away from and back to Flight Monit,
Req43,Count difference between V5 and V6. V6 doesn't show all bags which were scanned at NET-6000 and then at Datalogic,
Req44,CSV Report for Tracking Location History,
Req45,Print Reports,
Req46,Bags not seen in the BagList Screen in MC9090 HHT.,
Req47,'HHT Bags to Load / Bags To Offload / Bags Cleared List> These screens have multiple pages of information. This enhancement should allow to navigate i.e. from page 5/5 straight to 1/5 iso stepping back via page 4,3 and 2.
Req48,The LSeq numbers get incorrectly sorted based on characters (iso numbers) when clicking on the sort icon next to ""Lseq"" column,
Req49,The ""Aircraft Compartment or Loading Location"" element of the .U line in the BPM is not IATA compliant and can't be processed by some DCS systems,
Req50,The Pax Status should not be considered for the ""OK""/""Not OK"" check for RUSH and CREW bags.,
Req51,Support shared table FIDS interface,
Req52,Introduction of the Load Bag interface between RFID readers and BagManager,
Req53,MIAL Enhancement to allow display of OOG  bag totals on HHT,
Req54,Introduction of a new Departure Bags report showing all bag details for all departure bags in a specified period of time,
Req55,Application crashes when hyperlinks in paginated screens are clicked to navigate to Bag Enquiry. First page is fine, subsequent pages lead to application crashes.
Req56,IATA change to add ""PRE"" to the valid ""Security Screening Instruction"" in the .X/ element",
Req57,The OOG bags count should be decremented when OOG bags are loaded,
Req58,Load bag into BHE enters into infinite loop when bag has more than 1 irregularity,
Req59,TK FIDS Interface required (Oracle shared table),
Req60,Reception of Outstation BPMs to build inbound flight manifests,
